incidentid,priority,cars,length,backlog,location,epoch
1,4,4,22,53,178,1647479084
2,3,1,16,44,268,1647479854
3,4,2,66,45,120,1647480473
4,4,2,14,29,256,1647486060
5,4,1,11,31,397,1647488369
6,4,1,30,39,424,1647489200
7,4,1,81,12,220,1647489670
8,4,2,31,32,232,1647489698
9,4,1,27,13,105,1647489904
10,4,1,66,21,83,1647490923
11,4,1,58,24,264,1647491209
12,3,1,8,11,72,1647491277
13,4,1,42,52,220,1647491777
14,4,1,49,50,138,1647493052
15,3,1,8,41,398,1647493279
16,4,1,22,30,240,1647494121
17,4,2,48,19,300,1647495016
18,4,1,17,13,244,1647495315
19,2,1,2,30,295,1647495423
20,3,1,41,12,4,1647495460
21,3,1,27,36,194,1647495577
22,4,1,12,23,192,1647495658
23,4,1,23,33,178,1647496173
24,4,1,24,45,266,1647496641
25,3,1,38,19,308,1647497191
26,4,1,13,12,178,1647497463
27,3,1,28,42,261,1647497492
28,2,1,35,27,296,1647498061
29,2,2,40,35,165,1647498138
30,4,1,29,15,176,1647498164
31,4,3,36,34,177,1647498530
32,2,3,3,49,101,1647498554
33,3,1,2,75,190,1647498703
34,4,2,22,36,264,1647498848
35,4,1,20,19,174,1647499156
36,3,1,44,13,21,1647499341
37,4,1,64,40,190,1647499674
38,4,2,4,59,165,1647499738
39,4,1,30,14,255,1647500006
40,4,4,31,49,249,1647500554
41,2,1,29,26,312,1647500614
42,2,1,38,26,133,1647500816
43,4,2,38,14,59,1647501020
44,1,1,4,38,420,1647501339
45,3,1,20,54,508,1647501440
46,4,2,57,29,294,1647501658
47,3,1,6,53,497,1647501671
48,1,1,47,26,145,1647501740
49,4,1,36,37,209,1647501745
50,2,2,16,13,163,1647501808
51,1,2,27,24,356,1647501808
52,2,1,35,50,149,1647501832
53,4,1,51,30,321,1647501863
54,4,2,31,31,247,1647502050
55,4,1,21,28,302,1647502165
56,4,2,30,19,131,1647502186
57,3,1,43,27,284,1647502507
58,3,1,74,30,372,1647502535
59,2,1,54,37,413,1647502605
60,3,1,67,34,150,1647502690
61,4,2,72,30,409,1647502707
62,3,1,58,23,270,1647502719
63,4,1,88,21,364,1647502818
64,4,2,35,24,191,1647503109
65,3,2,66,22,315,1647503160
66,4,2,48,26,267,1647503462
67,4,1,31,38,209,1647503483
68,3,1,33,59,207,1647503486
69,3,2,28,50,240,1647504119
70,3,1,20,26,298,1647504200
71,4,1,34,33,119,1647504243
72,4,1,6,35,283,1647504295
73,3,1,25,25,224,1647504436
74,3,1,74,27,304,1647504668
75,2,1,91,41,123,1647504929
76,3,2,37,35,311,1647504939
77,4,3,49,36,264,1647505060
78,4,1,51,14,448,1647505214
79,3,1,2,36,296,1647505272
80,2,1,15,19,329,1647505328
81,4,2,50,11,133,1647505345
82,3,2,11,39,419,1647505428
83,2,1,2,69,165,1647505501
84,3,1,10,39,482,1647505542
85,4,1,30,17,297,1647505591
86,2,2,45,29,97,1647505817
