incidentid,priority,cars,length,backlog,location,epoch
1,4,1,53,29,464,1640996418
2,3,1,24,17,352,1640998664
3,2,1,51,47,246,1640998664
4,5,1,63,43,389,1640998951
5,3,2,55,20,403,1641000438
6,5,1,55,44,385,1641003667
7,4,1,38,11,500,1641005337
8,4,1,42,27,197,1641006646
9,4,2,32,20,467,1641007110
10,5,1,58,31,401,1641007195
11,4,1,41,22,500,1641007253
12,5,2,74,31,446,1641008440
13,3,1,27,34,375,1641008794
14,3,2,27,31,79,1641008846
15,3,2,29,32,460,1641009015
16,5,1,48,39,360,1641010358
17,1,1,81,7,321,1641010663
18,5,1,34,35,390,1641010713
19,4,2,32,16,231,1641010845
20,3,1,51,27,328,1641010888
21,4,1,53,30,28,1641011058
22,4,1,39,23,208,1641011487
23,4,2,21,20,426,1641011536
24,4,1,37,15,500,1641011571
25,5,2,52,23,55,1641012304
26,5,1,31,24,173,1641012407
27,4,1,48,49,46,1641012518
28,4,1,53,21,431,1641012531
29,4,2,39,16,466,1641013045
30,4,1,36,37,130,1641013219
31,2,1,36,33,68,1641013494
32,5,2,13,19,269,1641013949
33,5,1,71,27,226,1641014180
34,4,2,49,38,168,1641014775
35,5,1,28,32,471,1641014790
36,5,1,39,5,6,1641014849
37,4,1,18,39,427,1641015321
38,3,1,11,24,146,1641015589
39,3,1,56,23,427,1641015617
40,3,1,91,23,423,1641015747
41,3,1,18,32,313,1641015802
42,5,1,39,42,426,1641015828
43,5,1,50,19,5,1641015838
44,4,1,43,36,308,1641016609
45,2,1,44,33,445,1641016693
46,4,1,50,23,168,1641017240
47,1,1,28,46,154,1641017278
48,4,1,24,26,360,1641017309
49,4,1,47,33,332,1641017406
50,3,1,20,34,315,1641017492
51,5,1,53,21,355,1641017590
52,3,1,41,17,145,1641017698
53,3,2,33,34,471,1641017754
54,4,1,30,29,350,1641018193
55,3,1,40,29,485,1641018264
56,5,1,55,31,7,1641018277
57,3,2,21,22,345,1641018423
58,3,1,38,46,361,1641018560
59,4,1,42,17,26,1641018632
60,5,1,45,42,33,1641018679
61,2,2,57,36,101,1641018796
62,5,1,65,42,95,1641018845
63,3,1,36,39,399,1641018880
64,3,1,40,22,302,1641018924
65,5,1,29,32,41,1641018950
66,4,2,64,9,320,1641019045
67,5,1,46,27,353,1641019118
68,4,1,72,26,209,1641019230
69,5,1,45,36,67,1641019273
70,3,1,22,19,19,1641019309
71,1,2,42,12,163,1641019478
72,2,1,53,26,333,1641019601
73,5,2,72,24,340,1641019728
74,3,1,29,36,312,1641019738
75,5,1,50,25,486,1641019817
76,3,2,29,36,157,1641019818
77,5,1,63,21,80,1641019886
78,5,2,54,24,232,1641019925
79,1,1,67,32,383,1641020200
80,3,1,40,27,203,1641020274
81,4,3,55,47,178,1641020518
82,4,1,43,34,437,1641020558
83,5,1,54,44,223,1641020607
84,3,2,53,28,236,1641020642
85,5,2,59,31,133,1641020667
86,3,1,32,44,290,1641020764
87,5,1,54,19,357,1641020952
88,4,1,21,23,90,1641021015
89,5,1,49,14,319,1641021137
90,4,1,42,21,210,1641021157
91,5,1,63,35,167,1641021171
92,4,1,43,42,352,1641021232
93,5,2,31,31,286,1641021246
94,4,1,53,46,97,1641021459
95,4,3,45,37,394,1641021517
96,5,1,49,24,156,1641021537
97,4,1,37,36,110,1641021849
98,4,1,82,30,159,1641021860
99,5,1,29,45,167,1641022021
100,3,1,71,23,113,1641022031
101,4,1,69,27,270,1641022045
102,4,4,47,34,303,1641022098
103,4,1,49,36,272,1641022184
104,4,3,45,16,273,1641022281
105,5,1,32,31,119,1641022597
106,4,2,56,45,51,1641022657
107,4,2,35,35,125,1641022690
108,5,1,43,28,313,1641022690
109,1,1,27,29,40,1641022698
110,4,2,35,22,149,1641022705
111,5,1,40,11,265,1641022769
112,1,2,27,49,396,1641022865
113,5,1,54,29,13,1641022905
114,3,1,36,33,182,1641022955
