incidentid,priority,cars,length,backlog,location,epoch
1,3,1,47,33,937,1640996103
2,3,2,52,37,758,1640999497
3,3,2,27,25,765,1641002151
4,5,1,48,25,122,1641002280
5,3,1,19,12,679,1641002626
6,2,1,67,50,114,1641003273
7,5,1,60,42,100,1641004701
8,5,1,49,28,580,1641005732
9,5,1,28,27,603,1641006740
10,5,1,15,34,701,1641007045
11,2,1,29,29,958,1641007695
12,3,2,42,27,833,1641007855
13,3,1,50,42,10,1641008225
14,4,1,39,18,1004,1641008261
15,4,1,38,30,523,1641008703
16,5,2,54,29,580,1641009856
17,4,2,24,41,101,1641010042
18,4,1,45,45,785,1641010068
19,3,2,53,25,84,1641010620
20,5,3,42,10,889,1641010835
21,5,1,43,30,308,1641010853
22,3,1,40,38,857,1641010949
23,4,1,51,22,188,1641011125
24,5,1,47,30,451,1641011433
25,4,1,39,24,793,1641011617
26,5,1,62,31,141,1641011850
27,4,1,52,20,864,1641012076
28,4,1,35,27,157,1641012152
29,4,1,48,11,734,1641012683
30,4,1,20,13,415,1641012866
31,4,3,42,23,294,1641013041
32,5,1,44,23,463,1641013124
33,5,1,55,40,813,1641013430
34,3,4,63,28,904,1641013442
35,5,1,47,18,970,1641013577
36,4,1,31,44,405,1641014066
37,3,1,45,48,351,1641014173
38,4,1,48,24,893,1641014535
39,3,1,25,41,502,1641014559
40,5,1,54,34,789,1641014608
41,3,1,67,27,687,1641014971
42,4,2,50,15,838,1641015029
43,1,2,30,22,762,1641015202
44,5,1,41,14,772,1641015207
45,4,1,38,25,553,1641015295
46,4,1,47,26,603,1641015326
47,5,1,43,31,245,1641015519
48,3,1,26,21,234,1641015533
49,5,1,20,19,838,1641015600
50,5,1,47,36,48,1641015759
51,4,4,31,23,189,1641015937
52,3,1,22,40,253,1641016146
53,4,1,40,21,119,1641016292
54,2,1,42,33,994,1641016562
55,5,1,58,39,439,1641016605
56,3,1,55,40,914,1641016938
57,5,1,16,10,57,1641017041
58,4,1,47,33,778,1641017548
59,3,1,31,45,701,1641017586
60,5,1,50,29,704,1641017656
61,5,1,33,37,546,1641017802
62,5,1,26,27,377,1641017819
63,5,1,36,29,373,1641017822
64,4,1,47,14,42,1641017896
65,4,2,41,44,976,1641017961
66,3,1,65,31,395,1641018179
67,3,1,49,31,779,1641018238
68,5,2,48,37,807,1641018477
69,5,1,17,48,848,1641018593
70,4,1,46,26,734,1641018753
71,5,1,42,25,486,1641019072
72,4,1,68,21,815,1641019155
73,3,1,53,26,794,1641019329
74,3,1,47,40,915,1641019560
75,3,1,38,33,626,1641019580
76,5,1,41,5,881,1641019608
77,4,1,53,43,71,1641019667
78,3,1,9,18,766,1641020187
79,1,1,28,32,660,1641020230
80,4,2,54,40,403,1641020317
81,4,1,54,28,888,1641020445
82,4,1,46,43,236,1641020721
83,5,2,42,40,27,1641020806
84,4,1,18,42,381,1641020926
85,3,1,75,16,254,1641020988
86,4,2,51,25,235,1641020989
87,5,1,66,23,564,1641021040
88,3,1,51,34,654,1641021108
89,5,1,66,37,886,1641021233
90,4,1,73,24,680,1641021296
91,5,2,52,29,664,1641021347
92,3,1,14,43,718,1641021350
93,5,2,65,27,212,1641021385
94,5,1,56,41,383,1641021396
95,5,2,54,23,855,1641021439
96,4,1,42,35,716,1641021541
97,3,2,43,26,315,1641021567
98,3,1,35,23,911,1641021595
99,5,2,13,42,412,1641021703
100,3,1,40,21,328,1641021746
101,5,1,78,25,547,1641021891
102,5,1,18,20,655,1641021952
103,4,1,43,37,346,1641022075
104,4,1,39,25,408,1641022133
105,5,1,46,44,318,1641022197
106,5,2,27,15,127,1641022367
107,4,1,38,47,267,1641022387
108,5,1,44,35,437,1641022392
109,4,1,60,39,387,1641022576
110,5,1,46,29,247,1641022697
111,3,2,61,20,180,1641022702
112,3,1,34,43,742,1641022755
113,5,2,49,30,160,1641022780
114,3,1,48,22,915,1641022805
115,4,1,60,25,478,1641022978
116,5,1,41,26,785,1641023047
117,5,1,47,38,113,1641023081
118,4,1,46,20,898,1641023174
119,5,1,56,35,605,1641023251
120,4,2,24,32,269,1641023307
121,1,1,59,39,665,1641023357
122,3,1,48,36,369,1641023428
123,4,1,60,28,497,1641023450
124,5,1,64,31,372,1641023465
125,5,1,38,24,248,1641023512
126,3,1,62,23,903,1641023638
127,2,3,41,15,325,1641023674
128,4,3,52,28,217,1641023755
129,5,3,39,36,402,1641023777
130,5,1,45,25,548,1641023797
131,4,2,41,44,133,1641024045
132,2,1,14,32,345,1641024146
133,4,1,42,32,736,1641024283
134,3,2,17,32,345,1641024332
135,5,3,30,28,939,1641024360
136,5,1,35,23,90,1641024383
137,5,1,58,20,839,1641024413
138,5,2,61,37,385,1641024413
139,5,1,61,27,773,1641024442
140,5,2,38,37,520,1641024447
141,5,1,50,15,366,1641024506
142,3,1,54,36,297,1641024528
143,5,1,57,36,183,1641024545
144,5,1,61,29,780,1641024579
145,4,2,44,22,270,1641024600
146,3,2,30,46,315,1641024600
147,3,1,51,29,695,1641024658
148,5,1,47,39,530,1641024668
149,5,1,58,20,59,1641024727
150,5,1,38,13,479,1641024783
151,3,1,51,34,637,1641024809
152,5,2,52,39,978,1641024845
153,5,1,46,37,407,1641024891
154,4,1,73,36,466,1641025035
155,5,1,46,24,982,1641025158
156,4,3,49,27,316,1641025198
157,5,2,17,21,630,1641025242
158,5,1,37,22,138,1641025251
159,4,1,44,41,927,1641025319
160,5,1,25,28,852,1641025379
161,4,1,38,18,297,1641025494
162,5,1,27,35,284,1641025506
163,4,1,42,30,216,1641025514
164,5,1,49,10,801,1641025524
165,5,1,71,55,271,1641025530
166,3,1,84,31,348,1641025544
167,4,1,33,20,435,1641025593
168,5,1,49,30,720,1641025672
169,5,1,50,19,304,1641025724
170,3,1,34,28,973,1641025855
171,4,1,31,29,612,1641025881
172,4,1,57,19,411,1641025959
173,4,1,53,7,195,1641026002
174,4,1,33,26,806,1641026011
175,5,1,52,20,504,1641026088
176,3,1,49,28,791,1641026207
177,2,1,47,38,604,1641026248
178,4,2,48,16,929,1641026257
179,4,1,43,30,588,1641026316
180,5,1,50,39,679,1641026359
181,5,1,53,15,117,1641026526
182,5,1,61,13,591,1641026560
183,4,1,24,26,406,1641026600
184,5,2,51,23,643,1641026654
185,5,1,31,48,177,1641026769
186,5,1,33,36,349,1641026941
187,3,2,50,31,562,1641026962
188,4,1,32,5,137,1641026993
189,3,1,57,42,845,1641027031
190,4,1,58,32,742,1641027050
191,4,1,44,35,366,1641027256
192,5,2,49,34,278,1641027302
193,5,1,32,35,472,1641027414
194,4,1,41,22,907,1641027456
195,4,1,16,37,572,1641027477
196,4,2,77,21,36,1641027481
197,5,1,46,32,40,1641027534
198,5,2,45,16,232,1641027539
199,5,1,38,27,504,1641027621
200,4,2,42,29,666,1641027666
201,4,1,35,30,844,1641027679
202,3,3,65,21,474,1641027699
203,3,2,57,32,433,1641027767
204,4,1,43,26,450,1641027785
205,4,1,52,21,118,1641027786
206,4,4,77,32,955,1641027833
207,5,1,42,42,209,1641027940
208,5,1,32,18,616,1641028045
209,4,3,34,17,962,1641028097
210,4,1,48,25,237,1641028122
211,2,1,32,49,188,1641028253
212,4,1,52,37,747,1641028269
213,2,1,59,41,585,1641028272
214,4,2,45,23,292,1641028382
215,5,1,35,20,637,1641028402
216,5,1,36,28,485,1641028432
217,5,1,59,26,48,1641028460
218,4,2,50,18,345,1641028465
219,5,4,59,15,233,1641028533
220,4,3,59,44,836,1641028539
221,3,1,62,37,907,1641028567
222,5,1,48,40,192,1641028567
223,4,1,34,27,334,1641028822
224,2,1,55,36,701,1641029001
225,4,3,58,18,414,1641029063
226,4,1,59,22,759,1641029223
227,4,1,28,22,344,1641029269
228,4,1,63,23,419,1641029272
229,5,3,36,18,438,1641029331
230,4,1,38,42,79,1641029344
231,2,1,29,24,32,1641029387
232,5,1,66,36,751,1641029425
233,5,1,38,15,815,1641029444
234,1,1,45,43,660,1641029549
235,4,1,35,31,295,1641029552
236,5,1,42,44,471,1641029556
237,5,1,62,49,668,1641029606
238,3,1,33,19,198,1641029678
239,4,1,66,31,146,1641029689
