incidentid,priority,cars,length,backlog,location,epoch
1,4,3,51,15,214,1640913329
2,5,2,38,37,216,1640915563
3,5,2,55,11,1099,1640916512
4,4,2,60,31,1774,1640917236
5,3,1,35,28,349,1640917320
6,3,1,70,37,541,1640918121
7,5,2,36,31,196,1640918605
8,5,1,26,28,1762,1640921539
9,2,2,39,31,544,1640921897
10,3,1,35,19,1834,1640922606
11,5,1,54,28,1733,1640923222
12,3,1,43,54,474,1640923444
13,5,1,62,25,1187,1640923594
14,4,1,35,21,1477,1640924390
15,5,3,5,26,2007,1640924577
16,5,1,70,27,1851,1640925368
17,3,1,45,14,1718,1640927086
18,5,1,55,31,692,1640927108
19,4,1,38,25,732,1640927455
20,4,1,67,31,1149,1640927495
21,2,3,47,26,1564,1640927748
22,3,1,70,31,1638,1640927792
23,5,1,43,42,396,1640928445
24,3,1,54,34,934,1640928635
25,4,2,47,19,1196,1640928687
26,4,1,51,17,108,1640928833
27,4,2,34,10,929,1640929043
28,3,1,62,27,1044,1640929442
29,3,1,48,32,629,1640929513
30,3,1,18,42,981,1640929727
31,5,1,39,38,1272,1640929973
32,4,1,56,47,859,1640930443
33,5,1,33,39,787,1640930687
34,5,1,69,28,166,1640930813
35,5,2,59,41,1492,1640931131
36,2,2,42,40,1965,1640931338
37,2,2,27,15,1126,1640931592
38,5,1,47,32,565,1640931921
39,4,1,50,21,1367,1640932043
40,4,1,61,36,471,1640932089
41,5,1,34,20,1013,1640932331
42,5,1,22,40,1230,1640932362
43,3,1,45,25,1599,1640932510
44,5,1,53,52,1884,1640932883
45,5,2,56,19,629,1640932890
46,4,1,45,29,487,1640933111
47,4,1,45,9,1173,1640933198
48,3,1,40,39,1770,1640933315
49,3,1,85,37,392,1640933497
50,4,1,31,20,614,1640933593
51,4,1,35,27,998,1640933644
52,5,1,47,22,1541,1640933647
53,5,1,83,29,1833,1640933880
54,5,1,61,20,590,1640934242
55,5,2,45,29,524,1640934338
56,4,1,12,41,392,1640934409
57,5,2,46,16,1643,1640934522
58,3,1,37,18,107,1640934723
59,5,1,32,51,1803,1640934795
60,5,1,27,34,491,1640934927
61,3,2,47,19,1292,1640934927
62,5,1,69,41,1627,1640935043
63,3,1,54,38,315,1640935167
64,2,1,42,36,1701,1640935241
65,4,1,49,26,115,1640935391
