incidentid,priority,cars,length,backlog,location,epoch
1,4,2,25,46,1395,1647477910
2,2,2,67,37,807,1647484495
3,4,1,18,47,744,1647485541
4,3,2,24,35,1376,1647487861
5,4,1,6,31,522,1647488109
6,2,1,46,64,1504,1647488479
7,3,1,21,42,288,1647489305
8,4,1,36,34,295,1647491772
9,3,1,32,29,1762,1647491871
10,3,1,33,32,656,1647492648
11,4,3,33,30,1489,1647492960
12,4,1,53,42,1082,1647494292
13,4,1,59,47,989,1647494452
14,2,1,41,54,1032,1647494558
15,3,1,97,40,1015,1647494633
16,2,1,37,45,890,1647494910
17,1,1,30,34,1104,1647495222
18,3,2,30,27,1365,1647495274
19,3,1,6,41,1014,1647495684
20,3,1,11,20,1073,1647496684
21,3,2,35,43,1022,1647496907
22,4,1,4,16,1029,1647496983
23,2,1,39,59,649,1647497006
24,2,2,8,36,809,1647497083
25,3,1,28,24,1402,1647497849
26,4,1,68,38,329,1647497890
27,3,2,57,34,1123,1647497980
28,3,1,21,24,1955,1647498412
29,4,1,54,32,1137,1647498592
30,3,1,36,47,1309,1647498617
31,2,1,31,23,1380,1647498634
32,3,1,36,48,1255,1647498824
33,2,2,53,57,194,1647498874
34,2,1,13,37,735,1647498913
35,3,1,10,19,715,1647498975
36,2,1,46,22,1052,1647499047
37,4,1,21,77,778,1647499092
38,4,1,14,28,1697,1647499183
39,4,1,34,28,809,1647499508
40,3,1,39,49,1545,1647500246
41,4,2,55,32,1689,1647500595
42,4,1,30,36,1602,1647500685
43,2,1,42,48,897,1647500768
44,3,1,21,50,537,1647500856
45,3,1,3,68,569,1647501675
46,3,1,42,38,928,1647501742
47,2,1,85,11,763,1647501832
48,2,2,28,42,1889,1647501847
49,3,1,1,54,1586,1647502422
50,4,2,35,21,964,1647502603
51,4,1,16,64,893,1647503019
52,2,2,14,20,1063,1647503177
53,3,1,35,31,809,1647503212
54,4,1,55,23,1469,1647503250
55,2,1,49,41,1389,1647503302
56,1,2,19,44,1191,1647503317
57,4,1,16,36,651,1647503377
58,2,2,39,22,1044,1647503830
59,3,2,48,14,976,1647504271
60,3,1,14,46,1788,1647504578
61,2,1,13,28,1049,1647504600
62,4,1,19,35,551,1647504713
63,2,2,29,34,445,1647505044
64,4,2,60,15,1289,1647505127
65,4,2,6,26,1109,1647505211
66,3,1,19,20,441,1647505324
67,3,1,6,34,1257,1647505328
68,2,1,27,33,1666,1647505499
69,2,2,31,33,1379,1647505896
70,4,3,16,52,831,1647506035
71,4,2,34,40,742,1647506071
72,3,2,32,39,1405,1647506116
73,4,1,35,34,288,1647506132
74,1,1,54,45,1909,1647506262
75,3,1,36,32,776,1647506303
76,3,1,111,19,1165,1647506523
77,3,2,26,33,690,1647506561
78,3,1,49,60,748,1647506642
79,4,1,18,29,643,1647506692
80,3,1,59,15,999,1647506845
81,4,1,55,46,897,1647506992
82,2,1,21,61,36,1647507137
83,3,2,67,10,745,1647507459
84,3,1,39,16,1249,1647507615
85,3,1,49,18,863,1647507635
86,1,1,100,34,1315,1647507762
87,3,1,6,41,934,1647507985
88,2,2,40,11,2014,1647508098
89,4,2,21,41,1721,1647508184
90,4,1,1,16,660,1647508265
91,3,2,33,14,538,1647508283
92,4,2,34,24,936,1647508293
93,2,1,36,28,529,1647508297
94,2,2,29,35,1192,1647508428
95,4,1,47,33,580,1647508467
96,3,1,59,24,1036,1647508468
97,4,1,47,30,1076,1647508549
98,2,1,11,22,611,1647508677
99,3,1,49,62,1221,1647508705
100,4,3,42,16,260,1647508711
101,2,1,37,21,99,1647508930
102,4,1,44,48,1330,1647508988
103,1,1,50,13,1320,1647509236
104,4,2,5,27,594,1647509339
105,2,1,52,41,840,1647509416
106,3,1,40,48,1130,1647509634
107,4,1,12,37,1289,1647509791
108,4,1,43,34,1697,1647509824
109,2,1,5,19,1192,1647509839
110,4,1,59,18,1983,1647509953
111,3,1,23,47,643,1647509978
112,1,1,72,25,861,1647510191
113,3,1,12,39,447,1647510204
114,3,2,38,23,510,1647510221
115,2,1,25,19,221,1647510373
116,2,1,24,32,1142,1647510452
117,4,1,31,13,868,1647510464
118,3,1,13,19,801,1647510502
119,4,1,21,35,810,1647510913
120,4,2,2,42,1574,1647510964
121,3,2,2,36,1700,1647511140
122,2,1,35,29,921,1647511203
123,3,3,25,20,628,1647511291
124,4,1,45,27,1005,1647511376
125,4,1,40,11,1658,1647511378
126,4,1,8,28,560,1647511470
127,4,1,107,24,689,1647511486
128,4,1,19,18,1583,1647511532
129,4,2,80,67,1101,1647511538
130,4,1,44,41,862,1647511554
131,4,2,11,12,688,1647511723
132,2,1,33,55,812,1647511800
133,4,1,36,31,1405,1647511957
134,3,1,53,59,1076,1647512040
135,4,1,5,57,1349,1647512058
