incidentid,priority,cars,length,backlog,location,epoch
1,5,2,34,22,762,1640998028
2,3,1,36,23,570,1640999906
3,4,1,17,37,343,1641001666
4,5,1,41,14,1404,1641001716
5,4,2,46,34,60,1641004508
6,4,2,55,36,914,1641005396
7,3,2,53,42,1029,1641006413
8,5,1,38,32,1221,1641007098
9,2,1,60,37,1181,1641007656
10,1,1,51,37,653,1641008105
11,4,1,38,16,1663,1641008114
12,5,1,51,37,266,1641008283
13,4,1,42,30,1008,1641008334
14,4,2,38,31,1625,1641008658
15,5,1,36,13,55,1641008855
16,5,1,36,7,824,1641010346
17,4,2,54,19,654,1641010355
18,5,1,43,40,117,1641010584
19,4,1,62,20,668,1641011887
20,3,1,65,38,188,1641012667
21,4,2,22,14,1298,1641012747
22,2,1,32,17,1058,1641012898
23,4,1,19,8,217,1641012935
24,3,1,36,29,1801,1641013222
25,4,2,36,37,1437,1641013434
26,4,2,68,45,1506,1641013862
27,3,2,30,31,1846,1641013869
28,4,2,46,39,924,1641014174
29,5,1,12,39,362,1641014238
30,4,1,69,27,1047,1641014426
31,5,1,70,25,1886,1641014565
32,3,1,66,29,1792,1641015047
33,3,2,64,34,947,1641015058
34,5,2,50,25,741,1641015082
35,5,1,30,27,426,1641015358
36,4,1,49,38,1475,1641015376
37,4,1,29,24,1854,1641015527
38,3,2,64,34,432,1641015810
39,5,3,45,41,1362,1641015897
40,5,3,56,23,1814,1641016400
41,4,1,33,50,1061,1641016685
42,3,1,47,43,1288,1641017024
43,5,1,21,19,198,1641017171
44,3,1,54,21,316,1641017182
45,5,2,81,35,807,1641017319
46,4,1,40,25,1209,1641017330
47,5,2,81,44,1315,1641017380
48,5,1,56,36,1527,1641017415
49,3,1,30,30,1391,1641017668
50,2,1,32,42,1294,1641017855
51,5,2,34,17,727,1641018003
52,4,1,67,10,1961,1641018093
53,3,1,63,34,880,1641018145
54,4,1,52,48,468,1641018216
55,5,1,27,8,492,1641018312
56,4,2,43,24,668,1641018733
57,5,1,63,23,1603,1641018772
58,5,1,46,16,251,1641018894
59,3,1,15,23,1175,1641018947
60,2,1,36,42,84,1641018954
61,5,1,44,39,475,1641019183
62,4,1,37,20,1467,1641019205
63,3,1,67,39,1748,1641019459
64,5,1,31,38,1512,1641019494
65,5,1,28,18,944,1641019531
66,3,2,15,21,1729,1641019726
67,3,1,42,39,1607,1641019808
68,4,1,81,31,1945,1641020011
69,2,2,35,20,906,1641020137
70,1,1,41,14,593,1641020168
71,2,2,43,17,622,1641020254
72,4,1,29,16,1769,1641020329
73,3,1,44,38,2009,1641020510
74,5,1,54,35,1493,1641020557
75,5,1,37,38,307,1641020567
76,4,1,30,29,840,1641020680
77,4,1,38,34,508,1641020703
78,4,3,69,19,162,1641020718
79,5,1,52,35,1868,1641020959
80,2,1,31,42,61,1641020981
81,4,2,51,22,1740,1641020999
82,3,1,9,18,1201,1641021058
83,3,1,6,30,1968,1641021079
84,4,2,55,20,1153,1641021101
85,4,1,63,42,739,1641021150
86,3,4,51,35,366,1641021233
87,4,3,44,15,535,1641021249
88,5,2,21,30,1069,1641021320
89,5,1,43,32,1525,1641021368
90,3,2,58,24,1850,1641021394
91,4,1,18,29,473,1641021418
92,5,1,48,24,1825,1641021425
93,4,2,44,35,908,1641021565
94,4,1,47,19,800,1641021570
95,5,2,24,27,1765,1641021584
96,5,2,55,21,2001,1641021621
97,2,2,54,25,1987,1641021913
98,4,1,51,26,51,1641021938
99,3,1,44,14,614,1641021962
100,4,2,45,22,1792,1641022009
101,4,1,31,28,401,1641022019
102,3,1,26,14,780,1641022030
103,4,1,45,22,1528,1641022388
104,3,2,52,34,269,1641022711
105,5,2,50,13,1019,1641022831
106,4,2,76,46,1674,1641022963
107,5,1,35,26,450,1641022981
108,4,1,32,23,1239,1641023191
109,4,2,64,38,616,1641023377
110,3,1,63,51,215,1641023409
111,4,2,31,22,1063,1641023521
112,3,2,39,33,633,1641023651
113,5,1,62,25,1265,1641023668
114,4,2,54,33,1217,1641023706
115,5,1,60,36,224,1641023725
116,3,3,75,20,1288,1641023849
117,5,2,53,37,203,1641024039
118,4,6,26,13,284,1641024081
119,5,1,42,27,1406,1641024169
120,3,2,66,39,411,1641024269
121,3,1,30,31,882,1641024431
